Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 49.79    380.24   380.24 7891854877     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
 46.89    738.27   358.03        1   358.03   737.90  convolve(std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int)
  3.39    764.14    25.88  1876071     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00    764.16     0.02  1876071     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00    764.17     0.01  5628253     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00    764.18     0.01        2     0.01     0.01  std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, std::allocator<unsigned char> const&)
  0.00    764.19     0.01        1     0.01     0.01  writeWAV(char*, std::vector<short, std::allocator<short> > const&, WAV&, int)
  0.00    764.20     0.01        1     0.01     0.01  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00    764.20     0.00  5628297     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00    764.20     0.00  3752182     0.00     0.00  short const& std::forward<short const&>(std::remove_reference<short const&>::type&)
  0.00    764.20     0.00  3752142     0.00     0.00  operator new(unsigned long, void*)
  0.00    764.20     0.00  3752141     0.00     0.00  std::vector<short, std::allocator<short> >::operator[](unsigned long)
  0.00    764.20     0.00  1876115     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00    764.20     0.00  1876079     0.00     0.00  itoa(unsigned int, unsigned char*)
  0.00    764.20     0.00  1876071     0.00     0.00  void __gnu_cxx::new_allocator<short>::construct<short, short const&>(short*, short const&)
  0.00    764.20     0.00  1876071     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00    764.20     0.00  1876071     0.00     0.00  void std::allocator_traits<std::allocator<short> >::construct<short, short const&>(std::allocator<short>&, short*, short const&)
  0.00    764.20     0.00  1876071     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00    764.20     0.00  1876071     0.00     0.00  std::vector<short, std::allocator<short> >::push_back(short const&)
  0.00    764.20     0.00  1876071     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00    764.20     0.00  1876070     0.00     0.00  std::vector<short, std::allocator<short> >::operator[](unsigned long) const
  0.00    764.20     0.00      241     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00    764.20     0.00      241     0.00     0.00  short* std::__niter_base<short*>(short*)
  0.00    764.20     0.00      161     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00    764.20     0.00      161     0.00     0.00  std::vector<short, std::allocator<short> >::size() const
  0.00    764.20     0.00      160     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00    764.20     0.00      160     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::base() const
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<double*>::base() const
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<short*>::base() const
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<short*>::move_iterator(short*)
  0.00    764.20     0.00      160     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  0.00    764.20     0.00      160     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00    764.20     0.00      160     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<short*>(std::move_iterator<short*>)
  0.00    764.20     0.00      160     0.00     0.00  short* std::__miter_base<short*>(short*)
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  0.00    764.20     0.00      160     0.00     0.00  std::move_iterator<short*> std::__make_move_if_noexcept_iterator<short, std::move_iterator<short*> >(short*)
  0.00    764.20     0.00      124     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00    764.20     0.00      124     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_get_Tp_allocator()
  0.00    764.20     0.00      121     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00    764.20     0.00      121     0.00     0.00  __gnu_cxx::new_allocator<short>::max_size() const
  0.00    764.20     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
