Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 79.49      4.21     4.21        3     1.40     1.63  fft(std::vector<double, std::allocator<double> >&, int, int)
 13.59      4.93     0.72 718415314     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  2.64      5.07     0.14 12582915     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  1.04      5.13     0.06 12582915     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.38      5.15     0.02        1     0.02     0.12  complexMultiplication(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int)
  0.28      5.16     0.02 12582915     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.28      5.18     0.02 12582915     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.19      5.19     0.01 37748859     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.19      5.20     0.01 22405428     0.00     0.00  operator new(unsigned long, void*)
  0.19      5.21     0.01  6070373     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.19      5.22     0.01  6070373     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.19      5.23     0.01  1876078     0.00     0.00  itoa(unsigned int, unsigned char*)
  0.19      5.24     0.01  1876071     0.00     0.00  void std::allocator_traits<std::allocator<short> >::construct<short, short const&>(std::allocator<short>&, short*, short const&)
  0.19      5.25     0.01  1876071     0.00     0.00  std::vector<short, std::allocator<short> >::operator[](unsigned long)
  0.19      5.26     0.01  1876069     0.00     0.00  void std::vector<short, std::allocator<short> >::emplace_back<short>(short&&)
  0.19      5.27     0.01  1876069     0.00     0.00  std::remove_reference<short&>::type&& std::move<short&>(short&)
  0.19      5.28     0.01       65     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_deallocate(short*, unsigned long)
  0.19      5.29     0.01        1     0.01     0.01  afterFFTScale(std::vector<double, std::allocator<double> >&, int)
  0.19      5.30     0.01        1     0.01     0.02  writeWAV(char*, std::vector<short, std::allocator<short> > const&, WAV&, int)
  0.09      5.30     0.01       62     0.00     0.00  std::allocator_traits<std::allocator<short> >::deallocate(std::allocator<short>&, short*, unsigned long)
  0.00      5.30     0.00 12582915     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      5.30     0.00 12140770     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      5.30     0.00  6070373     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      5.30     0.00  5628297     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00      5.30     0.00  5628229     0.00     0.00  short&& std::forward<short>(std::remove_reference<short>::type&)
  0.00      5.30     0.00  3752182     0.00     0.00  short const& std::forward<short const&>(std::remove_reference<short const&>::type&)
  0.00      5.30     0.00  2318796     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      5.30     0.00  1876115     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      5.30     0.00  1876071     0.00     0.00  void __gnu_cxx::new_allocator<short>::construct<short, short const&>(short*, short const&)
  0.00      5.30     0.00  1876071     0.00     0.00  std::vector<short, std::allocator<short> >::push_back(short const&)
